video_id,mp4_video_link,title
serbia_2014_2_02032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030219.mp4,наставак Прве седнице Првог редовног заседања Народне скупштине Републике Србије у 2016. години 02.03.2016.
serbia_2014_3_02032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030210a.mp4,Дан за гласање о јединој тачки дневног реда Прве посебне седнице Народне скупштине у 2016. години 02.03.2016.
serbia_2014_4_02032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030210.mp4,Прва посебна седница Народне скупштине у 2016. години 02.03.2016.
serbia_2014_5_01032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030110a.mp4,Прва седницa Првог редовног заседања Народне скупштине Републике Србије у 2016. години 01.03.2016.
serbia_2014_6_01032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030110.mp4,Прва седницa Првог редовног заседања Народне скупштине Републике Србије у 2016. години 01.03.2016.
serbia_2014_7_29022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022910.mp4,Дан за гласање о свим тачкама дневног реда Седмог ванредног заседања Народне скупштине Републике Србије у 2016. години 29.02.2016.
serbia_2014_8_28022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022817a.mp4,наставак Седмог ванредног заседања Народне скупштине Републике Србије у 2016. години 28.02.2016.
serbia_2014_9_28022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022817.mp4,наставак Седмог ванредног заседања Народне скупштине Републике Србије у 2016. години 28.02.2016.
serbia_2014_10_26022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022617a.mp4,Седмо ванредно заседање Народне скупштине Републике Србије у 2016. години 26.02.2016.
serbia_2014_11_26022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022617.mp4,Седмо ванредно заседање Народне скупштине Републике Србије у 2016. години 26.02.2016.
serbia_2014_12_24022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022412.mp4,Дан за гласање о свим тачкама дневног реда Шестог ванредног заседања Народне скупштине Републике Србије у 2016. години 24.02.2016.
serbia_2014_13_23022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022319a.mp4,наставак Шестог ванредног заседања Народне скупштине Републике Србије у 2016. години 23.02.2016.
serbia_2014_14_23022016,http://217.26.67.44/filesnsrs/zasedanja/zas2016022319.mp4,наставак Шестог ванредног заседања Народне скупштине Републике Србије у 2016. години 23.02.2016.
