video_id,generic_video_link
uk_123_16012008,https://www.parliamentlive.tv/Event/Index/cedbbf78-a72e-4e35-a0eb-25f7a643bcc3
uk_124_16012008,https://www.parliamentlive.tv/Event/Index/8ce777a6-98e0-411d-978b-c9da2c7e23c7
uk_125_16012008,https://www.parliamentlive.tv/Event/Index/c0c921ad-483f-4b34-84ab-1804c63c1cab
uk_126_16012008,https://www.parliamentlive.tv/Event/Index/e335a6b1-57a6-472a-91dc-52c4d761f11f
uk_127_15012008,https://www.parliamentlive.tv/Event/Index/c9b57b7e-eb75-41ae-93e3-af5eebde354d
uk_128_15012008,https://www.parliamentlive.tv/Event/Index/281510da-7f45-480b-8c2c-6e04854c257e
uk_129_15012008,https://www.parliamentlive.tv/Event/Index/20bd30cb-e809-48ff-ae56-804d4f49544b
uk_130_15012008,https://www.parliamentlive.tv/Event/Index/f904ce5a-0ef0-4d78-a390-49176e069fe0
uk_131_15012008,https://www.parliamentlive.tv/Event/Index/8b9fba69-adb0-44f9-bfca-f24a63919715
uk_132_15012008,https://www.parliamentlive.tv/Event/Index/e55fd649-6833-4f66-a550-3992b8d660db
uk_133_15012008,https://www.parliamentlive.tv/Event/Index/1c6a9460-f72c-4fc9-b062-d4ed42bcd897
uk_134_15012008,https://www.parliamentlive.tv/Event/Index/fedac385-a8ba-4a2e-83f3-eb2ca6a3be65
uk_135_15012008,https://www.parliamentlive.tv/Event/Index/5273895d-3970-47d9-aa8d-f18b147430b2
uk_136_15012008,https://www.parliamentlive.tv/Event/Index/efae1848-35c7-4952-a254-0466b3e2f0e1
uk_137_15012008,https://www.parliamentlive.tv/Event/Index/f13de7fe-b60e-4a45-a18f-b22e3702c64c
uk_138_15012008,https://www.parliamentlive.tv/Event/Index/fad026cd-b147-4532-be70-8280bb672e1f
uk_139_15012008,https://www.parliamentlive.tv/Event/Index/1acfe95a-a473-4cc9-9e3b-81090e63efda
uk_140_15012008,https://www.parliamentlive.tv/Event/Index/b1481598-b9a6-4de9-9a18-0213d06edfd7
uk_141_15012008,https://www.parliamentlive.tv/Event/Index/471b1bc0-4d56-41af-9751-e8cbc1599b4b
uk_142_15012008,https://www.parliamentlive.tv/Event/Index/4b409236-a1a9-4dbc-96de-f7f089421d37
uk_143_14012008,https://www.parliamentlive.tv/Event/Index/b283f11a-eb19-4fd6-bca5-0aad03cd5f55
uk_144_14012008,https://www.parliamentlive.tv/Event/Index/12114426-969a-458f-ad2c-322026554922
uk_145_14012008,https://www.parliamentlive.tv/Event/Index/b4581870-159a-4024-99aa-6a41d217516a
uk_146_14012008,https://www.parliamentlive.tv/Event/Index/9e4e38c0-e955-4862-acd2-4383d30733f9
uk_147_10012008,https://www.parliamentlive.tv/Event/Index/e22b2549-640b-4f8b-9d0c-623ee8f81405
uk_148_10012008,https://www.parliamentlive.tv/Event/Index/a45356f9-4b7d-4022-b2ea-14009fb6b814
uk_149_10012008,https://www.parliamentlive.tv/Event/Index/d680a286-0d34-41e6-b80d-457d26b3f7f3
uk_150_10012008,https://www.parliamentlive.tv/Event/Index/02f425b4-812d-4333-ae7f-115d48fb710a
uk_151_10012008,https://www.parliamentlive.tv/Event/Index/6bfa325c-dd24-4cb9-88b8-b3ee1e7fe7c7
uk_152_10012008,https://www.parliamentlive.tv/Event/Index/7fae8690-ba0f-4c96-800d-035c4943e590
uk_153_10012008,https://www.parliamentlive.tv/Event/Index/27dcf2a9-0a43-4df9-a9af-80ca609784a2
uk_154_10012008,https://www.parliamentlive.tv/Event/Index/b2dc7384-d8ff-4b87-bd51-b1cf97773035
uk_155_10012008,https://www.parliamentlive.tv/Event/Index/a0cbd6b6-c5e8-41f4-a063-e313c93251a6
uk_156_10012008,https://www.parliamentlive.tv/Event/Index/a8817446-470b-41a8-878f-a5ebcf952ab8
uk_157_10012008,https://www.parliamentlive.tv/Event/Index/11f4491d-456d-40b6-a940-7f7e1d9558e8
uk_158_09012008,https://www.parliamentlive.tv/Event/Index/0dfdc392-f941-4c1c-8e3b-7c3060dafbba
uk_159_09012008,https://www.parliamentlive.tv/Event/Index/32c0f23d-d0ae-4877-946c-5fd1f9e4c09a
uk_160_09012008,https://www.parliamentlive.tv/Event/Index/721a2d9e-cf5f-457a-91e6-6ccee52951c2
uk_161_09012008,https://www.parliamentlive.tv/Event/Index/91de3341-c6a6-4b1c-b36f-3a8d8cacf573
uk_162_09012008,https://www.parliamentlive.tv/Event/Index/57ec541a-f4cb-4af1-bb58-eb9250ad617c
uk_163_09012008,https://www.parliamentlive.tv/Event/Index/fdd278a2-e241-4bb3-90c8-0d94fc5aba2c
uk_164_09012008,https://www.parliamentlive.tv/Event/Index/79a7733b-eb48-4add-a0cf-85e1abe2a281
uk_165_09012008,https://www.parliamentlive.tv/Event/Index/c5623280-afc2-4fdd-b8c1-90b135bd307a
