transcript_link,date,youtube_link
/et/202212281100,2022-12-28 11:00:00,https://www.youtube.com/watch?v=ojXYg50HEPU
/et/202212281228,2022-12-28 12:28:00,https://www.youtube.com/watch?v=lAoe_GuUW-g
/et/202212281435,2022-12-28 14:35:00,https://www.youtube.com/watch?v=qIJ7OQKH6qA
/et/202212281623,2022-12-28 16:23:00,
/et/202301091500,2023-01-09 15:00:00,https://www.youtube.com/watch?v=FBVBcxDWztA
/et/202301101000,2023-01-10 10:00:00,https://www.youtube.com/watch?v=VSFIMVBmXLI
/et/202301111200,2023-01-11 12:00:00,https://www.youtube.com/watch?v=Zk2imR4oiEk
/et/202301111400,2023-01-11 14:00:00,https://www.youtube.com/watch?v=xZzk31uR20o
/et/202301121000,2023-01-12 10:00:00,https://www.youtube.com/watch?v=oCEsf196T8g
/et/202301161500,2023-01-16 15:00:00,https://www.youtube.com/watch?v=mSUNrWxgEc0
/et/202301171000,2023-01-17 10:00:00,https://www.youtube.com/watch?v=uEokOwjCnCk
/et/202301181200,2023-01-18 12:00:00,https://www.youtube.com/watch?v=xwz_e7UyUHo
/et/202301181400,2023-01-18 14:00:00,https://www.youtube.com/watch?v=rM98XlT7a4s
/et/202301191000,2023-01-19 10:00:00,https://www.youtube.com/watch?v=ZLegwkN8Fwo
/et/202301231500,2023-01-23 15:00:00,https://www.youtube.com/watch?v=I0HawMQiEdg
/et/202301241000,2023-01-24 10:00:00,https://www.youtube.com/watch?v=jXfGYGxcBT0
/et/202301251200,2023-01-25 12:00:00,https://www.youtube.com/watch?v=UG7s6vIqRdc
/et/202301251400,2023-01-25 14:00:00,https://www.youtube.com/watch?v=b78niJM5nd4
/et/202301261000,2023-01-26 10:00:00,https://www.youtube.com/watch?v=TeY95yr6d_s
/et/202302061500,2023-02-06 15:00:00,https://www.youtube.com/watch?v=Wd0XcPf90dY
/et/202302071000,2023-02-07 10:00:00,https://www.youtube.com/watch?v=RdsLjqLgR-4
/et/202302081200,2023-02-08 12:00:00,https://www.youtube.com/watch?v=S8GpxBju4_w
/et/202302081400,2023-02-08 14:00:00,https://www.youtube.com/watch?v=5XYqD1wxJwc
/et/202302091000,2023-02-09 10:00:00,https://www.youtube.com/watch?v=zoPyogWdPLo
